googleRestaurantId,yelpRestaurantId,certainty
1,132,Highest
4,160,High
5,119,Highest
8,135,Highest
10,18,High
11,162,High
12,168,Highest
158,169,Highest
17,112,Highest
19,154,Highest
20,66,Highest
21,172,Highest
22,107,Highest
78,108,Highest
23,106,Highest
24,57,Highest
84,41,High
96,42,Medium
103,43,Medium
124,44,Medium
163,46,Highest
170,47,Highest
28,7,Highest
29,50,Highest
30,54,Highest
49,55,Medium
164,56,Highest
31,136,Highest
32,65,Highest
33,27,Highest
34,12,Highest
97,13,High
36,122,Highest
94,123,Medium
173,124,Highest
38,52,Highest
39,103,Highest
40,164,High
41,90,Highest
107,91,Medium
111,92,Medium
126,93,Medium
42,156,High
43,38,Highest
44,98,Highest
45,159,Highest
46,140,Highest
46,141,Medium
65,140,Medium
65,141,Medium
65,142,Medium
65,143,Medium
65,144,Medium
65,145,Medium
65,146,Medium
65,147,Medium
65,148,Medium
65,149,Medium
65,150,Medium
65,151,Medium
65,152,Medium
70,141,Medium
70,142,Highest
77,141,Medium
77,143,Highest
79,141,Medium
79,144,Highest
90,141,Medium
90,145,High
114,141,Medium
114,146,Medium
119,141,Medium
119,147,Medium
148,141,Medium
148,148,High
150,141,Medium
150,149,Medium
151,141,Medium
165,141,Medium
165,151,Highest
171,141,Medium
171,152,Highest
197,141,Medium
48,21,Highest
50,68,Medium
51,129,Medium
53,79,Medium
54,83,Highest
55,117,Medium
56,166,Medium
57,8,Medium
58,16,Medium
59,137,Medium
60,30,Medium
61,10,Medium
62,113,Medium
63,14,Medium
64,111,Medium
67,29,Medium
68,28,Medium
69,25,Highest
71,104,Highest
72,96,Highest
73,72,Highest
74,110,Highest
75,153,Highest
76,48,High
80,157,Highest
81,116,Highest
83,80,Medium
85,89,High
86,69,High
87,127,High
88,35,High
89,167,High
91,19,Medium
92,102,High
93,138,Medium
95,3,High
99,23,High
100,22,Medium
101,131,Medium
102,2,High
106,86,Medium
108,24,Medium
109,78,Medium
110,63,Medium
112,161,Medium
113,128,Medium
115,115,Medium
116,64,Medium
118,125,Medium
120,73,Medium
166,75,Highest
121,158,Medium
122,76,Medium
123,1,Medium
125,88,Medium
127,133,Medium
128,11,Medium
130,175,Medium
131,70,Medium
157,71,Highest
133,67,Medium
134,61,Medium
135,34,High
136,121,Medium
137,87,Medium
140,4,Medium
155,139,Medium
156,97,Highest
159,95,Highest
161,171,Highest
162,59,Highest
167,20,Highest
168,165,Highest
172,15,Highest
